q	label	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14
0	q0	0.0018476227256852128	0.08952183625584038	0.0017310028060155901	0.0220229113487872	0.0033834734081231513	5.739390327537221E-4	6.589938594120204E-4	0.0016888853553444895	0.00204396369047581	0.044164709042053725	0.001976779076303542	0.04312099179662807	7.906249669414582E-4	0.32263781848944056	0.4638364481461951
1	q1	0.002254004864821952	0.03589582465125961	0.026550474336030964	0.0024280813610646312	0.10188262298671767	7.001761528227174E-4	8.039386744670064E-4	0.002060353422888999	0.026932270547057057	0.7870408711013996	0.002411568981440186	0.003727916505576793	9.64521867458E-4	0.0025817371378564617	0.0037656374091383712
2	q2	0.005147199400783289	0.13777877712834682	0.004822313820898326	0.00554471692664788	0.06523365496653201	0.0015989079395960055	0.001835857911429112	0.004704980929370695	0.005694175838272485	0.7369221145929793	0.005507009594319134	0.00851299387288178	0.00220256240601076	0.00589560211530619	0.008599132556626145
3	q3	0.002983016506646099	0.015162643970010386	0.002794731777008336	0.00321339447513023	0.005462672051993947	9.266337681995699E-4	0.03340690505769117	0.0027267324777882247	0.0033000121415011326	0.9122213022966834	0.0031915415050002747	0.004933634636326502	0.0012764766822611134	0.0034167470613047785	0.00498355559245482
4	q4	0.002641306005850502	0.29980572771857483	0.002474589668178837	0.0028452937177579117	0.03347491154519094	8.20486018671494E-4	9.42077846567971E-4	0.0024143798245445346	0.002921989157387057	0.6072585330965485	0.0028259440490177885	0.03300647642248585	0.0011302537279537755	0.0030253518588950405	0.004412679342374965
5	q5	0.002053285977939841	0.2553240321749513	0.001923684819393091	0.0022118609812161643	0.31543471333004397	6.378255429330284E-4	0.08978223873776042	0.0018768791757477023	0.00227148211955214	0.026818314505489747	0.0021968190271927104	0.07018336398395963	8.786313005692202E-4	0.0023518337278770466	0.22605503459537402
6	q6	0.024869413290450223	0.14729072451222092	0.0019674859209538546	0.002262223673950364	0.003845710862668642	6.523484320791166E-4	7.490231303394642E-4	0.0019196145420433844	0.04786195289542891	0.7105102089787124	0.002246839224030903	0.003473269515865146	8.986371863789547E-4	0.0024053835126080355	0.049047164322269736
7	q7	0.002719177818842379	0.2201977523658175	0.002547546297757243	0.2682700054150477	0.0049795154141111094	8.446758450933147E-4	9.698524814377044E-4	0.002485561328607996	0.0030081361591825077	0.15344489609728423	0.002909259418771685	0.15190883965921884	0.0011635762232427103	0.0031145462323105668	0.18143665924327457
8	q8	0.07204866697380427	0.12742268415251587	0.0020133281450369707	0.002314933258035767	0.05053511439386309	6.67548084938204E-4	0.024066374721378833	0.0019643413678124342	0.0023773327294256976	0.7037651259626476	0.002299190351980436	0.0035541963462691747	9.195753424433362E-4	0.0024614287065362096	0.0035901594633121594
9	q9	0.0028017808001049574	0.014241424631527312	0.0026249354694550244	0.003018161959051927	0.339287963507371	8.703353450060124E-4	9.993145878863991E-4	0.002561067525529462	0.0030995170953869748	0.006216606111392692	0.0029976366847200677	0.004633887465253753	0.0011989232550918512	0.003209159685791336	0.6122392858764313
